channel,video_id,title,url,reason,source
exurb1a,BUtzl6b0uKU,a pointless ad for my pointless new book,https://www.youtube.com/watch?v=BUtzl6b0uKU,yt-dlp skipped in this run,curated fallback manifest
exurb1a,Jv79l1b-eoI,Absurdism | How to Party at the End of Meaning,https://www.youtube.com/watch?v=Jv79l1b-eoI,yt-dlp skipped in this run,curated fallback manifest
exurb1a,sKouPOhh_9I,Big Oxygen,https://www.youtube.com/watch?v=sKouPOhh_9I,yt-dlp skipped in this run,curated fallback manifest
exurb1a,Ctwc8t5CsQs,Chess is When You Microdose Infinity,https://www.youtube.com/watch?v=Ctwc8t5CsQs,yt-dlp skipped in this run,curated fallback manifest
exurb1a,K3W61Ae0M9g,Dear Nia (known unlisted/removed original link),https://www.youtube.com/watch?v=K3W61Ae0M9g,yt-dlp skipped in this run,curated fallback manifest
exurb1a,Fzhkwyoe5vI,Don't Hex the Water,https://www.youtube.com/watch?v=Fzhkwyoe5vI,yt-dlp skipped in this run,curated fallback manifest
exurb1a,O0EKaSmtpA0,Ether/Or — The story of black holes,https://www.youtube.com/watch?v=O0EKaSmtpA0,yt-dlp skipped in this run,curated fallback manifest
exurb1a,0y6wiBzPMSI,everybody is a total mess (and you should be one too),https://www.youtube.com/watch?v=0y6wiBzPMSI,yt-dlp skipped in this run,curated fallback manifest
exurb1a,9uhURpEbK40,exam for humans,https://www.youtube.com/watch?v=9uhURpEbK40,yt-dlp skipped in this run,curated fallback manifest
exurb1a,8HzIlKe--NU,How Long is Now? | Introduction to Metaphysics,https://www.youtube.com/watch?v=8HzIlKe--NU,yt-dlp skipped in this run,curated fallback manifest
exurb1a,P9Q3crLWQY8,How the Frogs Cooked Dinner,https://www.youtube.com/watch?v=P9Q3crLWQY8,yt-dlp skipped in this run,curated fallback manifest
exurb1a,VQjPKqE39No,How Will We Know When AI is Conscious?,https://www.youtube.com/watch?v=VQjPKqE39No,yt-dlp skipped in this run,curated fallback manifest
exurb1a,_lY32QRHMjk,Losing You (community reupload; fallback only),https://www.youtube.com/watch?v=_lY32QRHMjk,yt-dlp skipped in this run,curated fallback manifest
exurb1a,om6uhLs75Bk,Losing You (original; may be private),https://www.youtube.com/watch?v=om6uhLs75Bk,yt-dlp skipped in this run,curated fallback manifest
exurb1a,y894m7joEBc,maybe I'm the alien,https://www.youtube.com/watch?v=y894m7joEBc,yt-dlp skipped in this run,curated fallback manifest
